DDI-DrugBank.d456.s0|DDI-DrugBank.d456.s0.e0|DDI-DrugBank.d456.s0.e1|effect
DDI-DrugBank.d468.s8|DDI-DrugBank.d468.s8.e0|DDI-DrugBank.d468.s8.e1|effect
DDI-DrugBank.d468.s8|DDI-DrugBank.d468.s8.e0|DDI-DrugBank.d468.s8.e2|effect
DDI-DrugBank.d468.s8|DDI-DrugBank.d468.s8.e1|DDI-DrugBank.d468.s8.e2|effect
DDI-DrugBank.d468.s9|DDI-DrugBank.d468.s9.e0|DDI-DrugBank.d468.s9.e1|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e1|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e2|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e3|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e4|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e5|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e0|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e1|DDI-DrugBank.d468.s10.e2|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e1|DDI-DrugBank.d468.s10.e3|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e1|DDI-DrugBank.d468.s10.e4|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e1|DDI-DrugBank.d468.s10.e5|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e1|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e2|DDI-DrugBank.d468.s10.e3|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e2|DDI-DrugBank.d468.s10.e4|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e2|DDI-DrugBank.d468.s10.e5|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e2|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e3|DDI-DrugBank.d468.s10.e4|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e3|DDI-DrugBank.d468.s10.e5|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e3|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e4|DDI-DrugBank.d468.s10.e5|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e4|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d468.s10|DDI-DrugBank.d468.s10.e5|DDI-DrugBank.d468.s10.e6|effect
DDI-DrugBank.d493.s0|DDI-DrugBank.d493.s0.e0|DDI-DrugBank.d493.s0.e1|effect
DDI-DrugBank.d493.s0|DDI-DrugBank.d493.s0.e0|DDI-DrugBank.d493.s0.e2|effect
DDI-DrugBank.d493.s0|DDI-DrugBank.d493.s0.e1|DDI-DrugBank.d493.s0.e2|effect
DDI-DrugBank.d493.s1|DDI-DrugBank.d493.s1.e0|DDI-DrugBank.d493.s1.e1|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e0|DDI-DrugBank.d493.s2.e1|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e0|DDI-DrugBank.d493.s2.e2|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e0|DDI-DrugBank.d493.s2.e3|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e1|DDI-DrugBank.d493.s2.e2|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e1|DDI-DrugBank.d493.s2.e3|effect
DDI-DrugBank.d493.s2|DDI-DrugBank.d493.s2.e2|DDI-DrugBank.d493.s2.e3|effect
DDI-DrugBank.d493.s3|DDI-DrugBank.d493.s3.e0|DDI-DrugBank.d493.s3.e1|effect
DDI-DrugBank.d493.s4|DDI-DrugBank.d493.s4.e0|DDI-DrugBank.d493.s4.e1|effect
DDI-DrugBank.d493.s4|DDI-DrugBank.d493.s4.e0|DDI-DrugBank.d493.s4.e2|effect
DDI-DrugBank.d493.s4|DDI-DrugBank.d493.s4.e1|DDI-DrugBank.d493.s4.e2|effect
DDI-DrugBank.d170.s0|DDI-DrugBank.d170.s0.e0|DDI-DrugBank.d170.s0.e1|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e1|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e2|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e3|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e4|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e5|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e0|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e2|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e3|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e4|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e5|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e1|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e2|DDI-DrugBank.d170.s2.e3|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e2|DDI-DrugBank.d170.s2.e4|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e2|DDI-DrugBank.d170.s2.e5|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e2|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e2|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e3|DDI-DrugBank.d170.s2.e4|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e3|DDI-DrugBank.d170.s2.e5|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e3|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e3|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e4|DDI-DrugBank.d170.s2.e5|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e4|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e4|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e5|DDI-DrugBank.d170.s2.e6|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e5|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s2|DDI-DrugBank.d170.s2.e6|DDI-DrugBank.d170.s2.e7|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e0|DDI-DrugBank.d170.s3.e1|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e0|DDI-DrugBank.d170.s3.e2|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e0|DDI-DrugBank.d170.s3.e3|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e1|DDI-DrugBank.d170.s3.e2|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e1|DDI-DrugBank.d170.s3.e3|effect
DDI-DrugBank.d170.s3|DDI-DrugBank.d170.s3.e2|DDI-DrugBank.d170.s3.e3|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e1|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e2|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e3|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e4|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e5|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e6|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e7|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e8|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e9|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e10|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e11|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e0|DDI-DrugBank.d170.s5.e12|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e2|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e3|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e4|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e5|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e6|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e7|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e8|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e9|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e10|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e11|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e1|DDI-DrugBank.d170.s5.e12|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e3|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e4|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e5|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e6|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e7|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e8|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e9|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e10|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e11|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e2|DDI-DrugBank.d170.s5.e12|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e4|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e5|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e6|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e7|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e8|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e9|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e10|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e11|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e3|DDI-DrugBank.d170.s5.e12|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e4|DDI-DrugBank.d170.s5.e5|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e4|DDI-DrugBank.d170.s5.e6|effect
DDI-DrugBank.d170.s5|DDI-DrugBank.d170.s5.e4|DDI-DrugBank.d170.s5.e7|effect
